Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,800,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,38,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1600,1,Central,624,BATTERY - SIMPLE ASSAULT,36,F,B,203,OTHER BUSINESS
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1450,1,Central,310,BURGLARY,59,M,H,516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1215,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),32,M,H,406,OTHER STORE
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1130,1,Central,888,TRESPASSING,44,F,B,123,PARKING UNDERGROUND/BUILDING
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,320,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,F,W,101,STREET
10/26/2021 12:00:00 AM,10/18/2020 12:00:00 AM,528,1,Central,860,BATTERY WITH SEXUAL CONTACT,24,F,W,101,STREET
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1915,1,Central,330,BURGLARY FROM VEHICLE,31,M,W,108,PARKING LOT
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2000,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),30,M,W,101,STREET
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2000,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,B,101,STREET
08/10/2020 12:00:00 AM,08/10/2020 12:00:00 AM,125,18,Southeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,50,F,B,505,MOTEL
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1740,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,H,203,OTHER BUSINESS
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2210,1,Central,888,TRESPASSING,34,M,O,210,RESTAURANT/FAST FOOD
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2145,1,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,B,701,HOSPITAL
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2120,1,Central,624,BATTERY - SIMPLE ASSAULT,45,M,O,203,OTHER BUSINESS
01/03/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2200,1,Central,624,BATTERY - SIMPLE ASSAULT,62,M,B,102,SIDEWALK
11/12/2020 12:00:00 AM,11/12/2020 12:00:00 AM,430,5,Harbor,510,VEHICLE - STOLEN,0,,,104,DRIVEWAY
04/15/2020 12:00:00 AM,04/12/2020 12:00:00 AM,1300,6,Hollywood,510,VEHICLE - STOLEN,0,,,108,PARKING LOT
01/03/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1845,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),20,F,H,404,DEPARTMENT STORE
12/02/2021 12:00:00 AM,12/02/2020 12:00:00 AM,1040,14,Pacific,354,THEFT OF IDENTITY,31,F,B,501,SINGLE FAMILY DWELLING
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,930,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,X,102,SIDEWALK
01/23/2021 12:00:00 AM,07/24/2020 12:00:00 AM,100,13,Newton,121,"RAPE, FORCIBLE",15,F,H,501,SINGLE FAMILY DWELLING
01/03/2020 12:00:00 AM,01/01/2020 12:00:00 AM,130,1,Central,330,BURGLARY FROM VEHICLE,51,M,H,101,STREET
01/03/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1115,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),23,M,B,101,STREET
